code,tickers,name
1493,1493.T,One JPX-Nikkei Mid Small
1617,1617.T,NEXT FUNDS TOPIX-17 Foods
1625,1625.T,NEXT FUNDS TOPIX-17 ElecAppl & Precision
2639,2639.T,Global X Japan Bio & Med Tech
257A,257A.T,SMT Selected Japan Equity Active
1674,1674.T,WisdomTree Physical Platinum
1498,1498.T,AM-One ESG
1619,1619.T,NEXT FUNDS TOPIX-17 Construct & Material
1626,1626.T,NEXT FUNDS TOPIX-17 IT and Services
1599,1599.T,Daiwa ETF JPX-Nikkei 400
1481,1481.T,Listed Index Fund Japanese Economy Contributor Sto
1586,1586.T,Listed Index Fund TOPIX Ex-Financials
2843,2843.T,Listed Index Fund Australian Government Bond (Curr
1696,1696.T,WisdomTree Corn
2839,2839.T,MAXIS US Treasury Bond 7-10 Year (JPY Hedged)
1484,1484.T,AMOne One JPX/S&P CAPEX & Human Capital Index
1630,1630.T,NEXT FUNDS TOPIX-17 Retail Trade
2246,2246.T,NEXT FUNDS Bloomberg France Treasury Bond (7-10 ye
1560,1560.T,NEXT FUNDS FTSE Bursa Malaysia KLCI
1679,1679.T,Simple-X NY Dow Jones Index
1499,1499.T,MAXIS Japan Equity High Dividend 70 Market Neutral
2649,2649.T,iShares Ginnie Mae MBS JPY Hedged
2034,2034.T,NEXT NOTES F-KOSPI 200 Inverse
1585,1585.T,Daiwa ETF TOPIX Ex-Financials
2855,2855.T,Global X Green J-REIT
2849,2849.T,Global X Morningstar Japan High Dividend ESG
258A,258A.T,SMT Selected J-REIT Active
1349,1349.T,ABF Pan Asia Bond
2523,2523.T,MAXIS TOPIX Ex-Financials
2089,2089.T,NZAM DAX (JPY Hedged)
2863,2863.T,NEXT FUNDS S&P US Equity and Bond Balance Conserva
140A,140A.T,iFreeETF 10-Year U.S. Treasury Note Futures Invers
1677,1677.T,Listed Index Fund International Bond (Citi WGBI) M
2836,2836.T,Global X Japan Fintech
1685,1685.T,WisdomTree Energy
2043,2043.T,NEXT NOTES Stoxx Asean Five Select Dividend 50 Net
1483,1483.T,iShares JPX/S&P CAPEX & Human Capital
2861,2861.T,Listed Index Fund France Government Bond (No Curre
2851,2851.T,iShares MSCI Japan SRI
181A,181A.T,MAXIS US Treasury Bond 1-3 Year (Unhedged)
2848,2848.T,Global X MSCI Japan Climate Change
2643,2643.T,NEXT FUNDS MSCI Japan Country ESG Leaders Index Ex
294A,294A.T,NEXT FUNDS MSCI Global Climate 500 Japan Selection
2067,2067.T,NEXT NOTES AI Companies 70 Net Total Return
2642,2642.T,SMT Carbon Efficient Index Japan Equity
2623,2623.T,iShares Euro Investment Grade Corporate Bond JPY H
2245,2245.T,NEXT FUNDS Bloomberg Germany Treasury Bond (7-10 y
2647,2647.T,NEXT FUNDS Bloomberg US Treasury Bond (7-10 year)
1652,1652.T,Daiwa MSCI Japan Empowering Women
1684,1684.T,WisdomTree Broad Commodities
1686,1686.T,WisdomTree Industrial Metals
2050,2050.T,NEXT NOTES Niche Top Mid Small Cap Japan Equity Ne
2838,2838.T,MAXIS US Treasury Bond 7-10 Year (Unhedged)
2048,2048.T,NEXT NOTES Nomura Japan Equity High
2526,2526.T,Nochu NZAM JPX-Nikkei400
1485,1485.T,MAXIS JAPAN Proactive Investment in Physical and H
2069,2069.T,NEXT NOTES Japan Equity Low Beta Select 50 Net Tot
2862,2862.T,Listed Index Fund France Government Bond (Currency
2068,2068.T,NEXT NOTES Japan Equity High Beta Select 30 Net To
2090,2090.T,NZAM US Treasury 7-10Y (JPY Hedged)
2088,2088.T,NZAM NY Dow30 (JPY Hedged)
1490,1490.T,Listed Fund MSCI Japan Equity High Dividend Low Vo
2091,2091.T,NZAM German Government Bond 7-10Y (JPY Hedged)
1319,1319.T,Nomura Nikkei 300 Listed
2560,2560.T,MAXIS Carbon Efficient Japan Equity
2045,2045.T,NEXT NOTES S&P Singapore REIT Net Total Return
1479,1479.T,Daiwa MSCI Japan Human and Physical Investment Ind
1596,1596.T,NZAM ETF TOPIX Ex-Financials
2092,2092.T,NZAM France Government Bond 7-10Y (JPY Hedged)
1654,1654.T,Daiwa FTSE Blossom Japan
1480,1480.T,NEXT FUNDS Nomura Enterprise Value Allocation Inde
